"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","EXCH","TOT","NATUSD","A","2003",0.884048,
"FRA","EXCH","TOT","NATUSD","A","2004",0.803922,
"FRA","EXCH","TOT","NATUSD","A","2005",0.8038,
"FRA","EXCH","TOT","NATUSD","A","2006",0.796433,
"FRA","EXCH","TOT","NATUSD","A","2007",0.729672,
"FRA","EXCH","TOT","NATUSD","A","2008",0.679923,
"FRA","EXCH","TOT","NATUSD","A","2009",0.716958,
"FRA","EXCH","TOT","NATUSD","A","2010",0.754309,
"FRA","EXCH","TOT","NATUSD","A","2011",0.718414,
"FRA","EXCH","TOT","NATUSD","A","2012",0.778338,
"FRA","EXCH","TOT","NATUSD","A","2013",0.752945,
"FRA","EXCH","TOT","NATUSD","A","2014",0.752728,
"FRA","EXCH","TOT","NATUSD","A","2015",0.901296,
"FRA","EXCH","TOT","NATUSD","A","2016",0.903421,
"FRA","EXCH","TOT","NATUSD","A","2017",0.885206,
"FRA","EXCH","TOT","NATUSD","A","2018",0.846773,
