"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"FRA","CPI","TOT","AGRWTH","M","2003-01",1.98926,
"FRA","CPI","TOT","AGRWTH","M","2003-02",2.571916,
"FRA","CPI","TOT","AGRWTH","M","2003-03",2.536408,
"FRA","CPI","TOT","AGRWTH","M","2003-04",2.007012,
"FRA","CPI","TOT","AGRWTH","M","2003-05",1.763072,
"FRA","CPI","TOT","AGRWTH","M","2003-06",1.968599,
"FRA","CPI","TOT","AGRWTH","M","2003-07",1.859903,
"FRA","CPI","TOT","AGRWTH","M","2003-08",1.867695,
"FRA","CPI","TOT","AGRWTH","M","2003-09",2.0688,
"FRA","CPI","TOT","AGRWTH","M","2003-10",2.125615,
"FRA","CPI","TOT","AGRWTH","M","2003-11",2.245707,
"FRA","CPI","TOT","AGRWTH","M","2003-12",2.181993,
"FRA","CPI","TOT","AGRWTH","M","2004-01",1.986359,
"FRA","CPI","TOT","AGRWTH","M","2004-02",1.71123,
"FRA","CPI","TOT","AGRWTH","M","2004-03",1.704344,
"FRA","CPI","TOT","AGRWTH","M","2004-04",2.109755,
"FRA","CPI","TOT","AGRWTH","M","2004-05",2.610656,
"FRA","CPI","TOT","AGRWTH","M","2004-06",2.451735,
"FRA","CPI","TOT","AGRWTH","M","2004-07",2.395068,
"FRA","CPI","TOT","AGRWTH","M","2004-08",2.377573,
"FRA","CPI","TOT","AGRWTH","M","2004-09",2.085788,
"FRA","CPI","TOT","AGRWTH","M","2004-10",2.12841,
"FRA","CPI","TOT","AGRWTH","M","2004-11",2.067183,
"FRA","CPI","TOT","AGRWTH","M","2004-12",2.076734,
"FRA","CPI","TOT","AGRWTH","M","2005-01",1.513552,
"FRA","CPI","TOT","AGRWTH","M","2005-02",1.705807,
"FRA","CPI","TOT","AGRWTH","M","2005-03",1.943442,
"FRA","CPI","TOT","AGRWTH","M","2005-04",1.880441,
"FRA","CPI","TOT","AGRWTH","M","2005-05",1.5728,
"FRA","CPI","TOT","AGRWTH","M","2005-06",1.653179,
"FRA","CPI","TOT","AGRWTH","M","2005-07",1.667439,
"FRA","CPI","TOT","AGRWTH","M","2005-08",1.837088,
"FRA","CPI","TOT","AGRWTH","M","2005-09",2.135519,
"FRA","CPI","TOT","AGRWTH","M","2005-10",1.853771,
"FRA","CPI","TOT","AGRWTH","M","2005-11",1.588032,
"FRA","CPI","TOT","AGRWTH","M","2005-12",1.597701,
"FRA","CPI","TOT","AGRWTH","M","2006-01",2.057328,
"FRA","CPI","TOT","AGRWTH","M","2006-02",1.826536,
"FRA","CPI","TOT","AGRWTH","M","2006-03",1.472603,
"FRA","CPI","TOT","AGRWTH","M","2006-04",1.709012,
"FRA","CPI","TOT","AGRWTH","M","2006-05",2.072185,
"FRA","CPI","TOT","AGRWTH","M","2006-06",1.956101,
"FRA","CPI","TOT","AGRWTH","M","2006-07",1.936219,
"FRA","CPI","TOT","AGRWTH","M","2006-08",1.883367,
"FRA","CPI","TOT","AGRWTH","M","2006-09",1.265823,
"FRA","CPI","TOT","AGRWTH","M","2006-10",1.062627,
"FRA","CPI","TOT","AGRWTH","M","2006-11",1.381966,
"FRA","CPI","TOT","AGRWTH","M","2006-12",1.493382,
"FRA","CPI","TOT","AGRWTH","M","2007-01",1.245753,
"FRA","CPI","TOT","AGRWTH","M","2007-02",1.049188,
"FRA","CPI","TOT","AGRWTH","M","2007-03",1.192485,
"FRA","CPI","TOT","AGRWTH","M","2007-04",1.254621,
"FRA","CPI","TOT","AGRWTH","M","2007-05",1.070831,
"FRA","CPI","TOT","AGRWTH","M","2007-06",1.19353,
"FRA","CPI","TOT","AGRWTH","M","2007-07",1.106145,
"FRA","CPI","TOT","AGRWTH","M","2007-08",1.180401,
"FRA","CPI","TOT","AGRWTH","M","2007-09",1.517857,
"FRA","CPI","TOT","AGRWTH","M","2007-10",2.002237,
"FRA","CPI","TOT","AGRWTH","M","2007-11",2.446927,
"FRA","CPI","TOT","AGRWTH","M","2007-12",2.586111,
"FRA","CPI","TOT","AGRWTH","M","2008-01",2.818792,
"FRA","CPI","TOT","AGRWTH","M","2008-02",2.846935,
"FRA","CPI","TOT","AGRWTH","M","2008-03",3.179544,
"FRA","CPI","TOT","AGRWTH","M","2008-04",3.020246,
"FRA","CPI","TOT","AGRWTH","M","2008-05",3.321929,
"FRA","CPI","TOT","AGRWTH","M","2008-06",3.571429,
"FRA","CPI","TOT","AGRWTH","M","2008-07",3.613659,
"FRA","CPI","TOT","AGRWTH","M","2008-08",3.158706,
"FRA","CPI","TOT","AGRWTH","M","2008-09",2.979331,
"FRA","CPI","TOT","AGRWTH","M","2008-10",2.664766,
"FRA","CPI","TOT","AGRWTH","M","2008-11",1.625041,
"FRA","CPI","TOT","AGRWTH","M","2008-12",0.999674,
"FRA","CPI","TOT","AGRWTH","M","2009-01",0.7071366,
"FRA","CPI","TOT","AGRWTH","M","2009-02",0.8684325,
"FRA","CPI","TOT","AGRWTH","M","2009-03",0.3016916,
"FRA","CPI","TOT","AGRWTH","M","2009-04",0.128866,
"FRA","CPI","TOT","AGRWTH","M","2009-05",-0.2563555,
"FRA","CPI","TOT","AGRWTH","M","2009-06",-0.48957,
"FRA","CPI","TOT","AGRWTH","M","2009-07",-0.725256,
"FRA","CPI","TOT","AGRWTH","M","2009-08",-0.181372,
"FRA","CPI","TOT","AGRWTH","M","2009-09",-0.3629764,
"FRA","CPI","TOT","AGRWTH","M","2009-10",-0.2136296,
"FRA","CPI","TOT","AGRWTH","M","2009-11",0.3970809,
"FRA","CPI","TOT","AGRWTH","M","2009-12",0.9144701,
"FRA","CPI","TOT","AGRWTH","M","2010-01",1.101869,
"FRA","CPI","TOT","AGRWTH","M","2010-02",1.280672,
"FRA","CPI","TOT","AGRWTH","M","2010-03",1.589859,
"FRA","CPI","TOT","AGRWTH","M","2010-04",1.683827,
"FRA","CPI","TOT","AGRWTH","M","2010-05",1.649175,
"FRA","CPI","TOT","AGRWTH","M","2010-06",1.508021,
"FRA","CPI","TOT","AGRWTH","M","2010-07",1.675978,
"FRA","CPI","TOT","AGRWTH","M","2010-08",1.389483,
"FRA","CPI","TOT","AGRWTH","M","2010-09",1.564342,
"FRA","CPI","TOT","AGRWTH","M","2010-10",1.594948,
"FRA","CPI","TOT","AGRWTH","M","2010-11",1.571352,
"FRA","CPI","TOT","AGRWTH","M","2010-12",1.759062,
"FRA","CPI","TOT","AGRWTH","M","2011-01",1.741639,
"FRA","CPI","TOT","AGRWTH","M","2011-02",1.657635,
"FRA","CPI","TOT","AGRWTH","M","2011-03",1.987945,
"FRA","CPI","TOT","AGRWTH","M","2011-04",2.07784,
"FRA","CPI","TOT","AGRWTH","M","2011-05",2.012221,
"FRA","CPI","TOT","AGRWTH","M","2011-06",2.10726,
"FRA","CPI","TOT","AGRWTH","M","2011-07",1.94421,
"FRA","CPI","TOT","AGRWTH","M","2011-08",2.234872,
"FRA","CPI","TOT","AGRWTH","M","2011-09",2.236523,
"FRA","CPI","TOT","AGRWTH","M","2011-10",2.349594,
"FRA","CPI","TOT","AGRWTH","M","2011-11",2.51526,
"FRA","CPI","TOT","AGRWTH","M","2011-12",2.462022,
"FRA","CPI","TOT","AGRWTH","M","2012-01",2.352447,
"FRA","CPI","TOT","AGRWTH","M","2012-02",2.289119,
"FRA","CPI","TOT","AGRWTH","M","2012-03",2.301711,
"FRA","CPI","TOT","AGRWTH","M","2012-04",2.087208,
"FRA","CPI","TOT","AGRWTH","M","2012-05",1.982857,
"FRA","CPI","TOT","AGRWTH","M","2012-06",1.929625,
"FRA","CPI","TOT","AGRWTH","M","2012-07",1.938226,
"FRA","CPI","TOT","AGRWTH","M","2012-08",2.082904,
"FRA","CPI","TOT","AGRWTH","M","2012-09",1.908988,
"FRA","CPI","TOT","AGRWTH","M","2012-10",1.852996,
"FRA","CPI","TOT","AGRWTH","M","2012-11",1.416692,
"FRA","CPI","TOT","AGRWTH","M","2012-12",1.329243,
"FRA","CPI","TOT","AGRWTH","M","2013-01",1.169711,
"FRA","CPI","TOT","AGRWTH","M","2013-02",1.042305,
"FRA","CPI","TOT","AGRWTH","M","2013-03",0.9729401,
"FRA","CPI","TOT","AGRWTH","M","2013-04",0.6882591,
"FRA","CPI","TOT","AGRWTH","M","2013-05",0.8,
"FRA","CPI","TOT","AGRWTH","M","2013-06",0.9313626,
"FRA","CPI","TOT","AGRWTH","M","2013-07",1.067616,
"FRA","CPI","TOT","AGRWTH","M","2013-08",0.8686869,
"FRA","CPI","TOT","AGRWTH","M","2013-09",0.8809234,
"FRA","CPI","TOT","AGRWTH","M","2013-10",0.5659996,
"FRA","CPI","TOT","AGRWTH","M","2013-11",0.6782063,
"FRA","CPI","TOT","AGRWTH","M","2013-12",0.7063572,
"FRA","CPI","TOT","AGRWTH","M","2014-01",0.6490873,
"FRA","CPI","TOT","AGRWTH","M","2014-02",0.9203075,
"FRA","CPI","TOT","AGRWTH","M","2014-03",0.6122654,
"FRA","CPI","TOT","AGRWTH","M","2014-04",0.7237636,
"FRA","CPI","TOT","AGRWTH","M","2014-05",0.6831425,
"FRA","CPI","TOT","AGRWTH","M","2014-06",0.4814443,
"FRA","CPI","TOT","AGRWTH","M","2014-07",0.4627767,
"FRA","CPI","TOT","AGRWTH","M","2014-08",0.4406169,
"FRA","CPI","TOT","AGRWTH","M","2014-09",0.291077,
"FRA","CPI","TOT","AGRWTH","M","2014-10",0.4522613,
"FRA","CPI","TOT","AGRWTH","M","2014-11",0.3217374,
"FRA","CPI","TOT","AGRWTH","M","2014-12",0.06012024,
"FRA","CPI","TOT","AGRWTH","M","2015-01",-0.3829101,
"FRA","CPI","TOT","AGRWTH","M","2015-02",-0.2705682,
"FRA","CPI","TOT","AGRWTH","M","2015-03",-0.0698324,
